#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
57,Austria,18709,N/A,706,N/A,16808,N/A,1195,9,2077,78,683484,75877
58,Algeria,18242,N/A,996,N/A,13124,N/A,4122,50,416,23,N/A,N/A
59,Serbia,17728,N/A,370,N/A,13651,N/A,3707,130,2029,42,480346,54983
60,Nepal,16649,N/A,35,N/A,8011,N/A,8603,N/A,571,1,588353,20185
61,Morocco,15328,N/A,243,N/A,11827,N/A,3258,19,415,7,849097,22998
62,Cameroon,14916,N/A,359,N/A,11525,N/A,3032,52,562,14,N/A,N/A
63,S. Korea,13373,+35,288,N/A,12144,+79,941,15,261,6,1396941,27246
64,Czechia,13062,+61,352,N/A,8209,+1,4501,12,1220,33,588910,54989
65,Denmark,12946,N/A,609,N/A,12077,N/A,260,4,2235,105,1206863,208339
66,Uzbekistan,12206,+179,55,+1,7530,N/A,4621,43,365,2,1121236,33489
67,Ivory Coast,12052,N/A,81,N/A,6080,N/A,5891,N/A,457,3,72599,2751
68,Sudan,10204,N/A,649,N/A,5277,N/A,4278,N/A,233,15,401,9
69,Kyrgyzstan,9910,+552,125,+3,3236,+102,6549,24,1518,19,249996,38305
70,Australia,9549,+190,107,+1,7730,+154,1712,16,374,4,3019317,118372
71,Kenya,9448,N/A,181,N/A,2733,N/A,6534,44,176,3,206584,3840
72,El Salvador,9142,,254,+5,5454,+26,3434,274,1409,39,187316,28875
73,Norway,8974,N/A,252,N/A,8138,N/A,584,2,1655,46,372389,68677
74,Venezuela,8803,N/A,83,N/A,2671,N/A,6049,24,310,3,1367504,48095
75,Malaysia,8696,N/A,121,N/A,8511,N/A,64,2,269,4,836255,25830
76,DRC,7905,N/A,189,N/A,3513,N/A,4203,N/A,88,2,N/A,N/A
77,Senegal,7882,N/A,145,N/A,5311,N/A,2426,38,471,9,88729,5297
78,North Macedonia,7777,N/A,368,N/A,3960,N/A,3449,55,3733,177,74562,35789
79,Finland,7279,N/A,329,N/A,6800,N/A,150,2,1314,59,275000,49630
80,Ethiopia,7120,N/A,124,N/A,2430,N/A,4566,35,62,1,250604,2179
