#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Test/1M pop
43,Panama,24274,N/A,485,N/A,14359,N/A,9430,107,5629,112,102703,23816
45,Bolivia,22476,+977,715,+18,4670,+668,17091,71,1926,61,55114,4724
46,Bahrain,20916,N/A,57,N/A,15287,N/A,5572,36,12312,34,462627,272315
47,Israel,20339,N/A,304,N/A,15586,N/A,4449,39,2211,33,804743,87495
48,Armenia,19157,N/A,319,N/A,8266,N/A,10572,10,6465,108,91943,31029
49,Nigeria,19147,N/A,487,N/A,6581,N/A,12079,7,93,2,108548,527
50,Japan,17740,N/A,935,N/A,16008,N/A,797,62,140,7,403380,3189
51,Austria,17271,N/A,688,N/A,16141,N/A,442,7,1918,76,552130,61315
52,Kazakhstan,16351,N/A,113,N/A,10195,N/A,6043,121,871,6,1239138,66020
53,Moldova,13556,N/A,450,N/A,7525,N/A,5581,455,3360,112,63328,15698
54,Ghana,13203,N/A,70,N/A,4548,N/A,8585,6,425,2,261319,8417
55,Serbia,12709,N/A,259,N/A,11511,N/A,939,18,1454,30,332342,38033
56,Guatemala,12509,+641,483,+34,2419,+129,9607,5,699,27,31427,1755
57,Denmark,12391,N/A,600,N/A,11282,N/A,509,6,2139,104,876344,151313
58,S. Korea,12373,+67,280,N/A,10856,+21,1237,15,241,5,1170901,22839
59,Azerbaijan,11767,N/A,143,N/A,6325,N/A,5299,66,1161,14,403499,39807
60,Algeria,11504,N/A,825,N/A,8196,N/A,2483,54,263,19,N/A,N/A
61,Honduras,11258,+519,349,+6,1214,+35,9695,13,1137,35,21540,2176
62,Cameroon,10638,N/A,282,N/A,7548,N/A,2808,28,401,11,N/A,N/A
63,Czechia,10406,N/A,335,N/A,7473,N/A,2598,9,972,31,513979,47998
64,Morocco,9613,N/A,213,N/A,8117,N/A,1283,7,261,6,505636,13704
65,Norway,8726,N/A,244,N/A,8138,N/A,344,5,1610,45,302659,55842
66,Malaysia,8535,N/A,121,N/A,8070,N/A,344,3,264,4,674551,20850
67,Sudan,8316,N/A,506,N/A,3086,N/A,4724,N/A,190,12,401,9
68,Nepal,8274,N/A,22,N/A,1402,N/A,6850,N/A,284,0.8,409623,14068
69,Australia,7410,+1,102,N/A,6881,+3,427,2,291,4,1990196,78077
70,Finland,7133,N/A,326,N/A,6200,N/A,607,2,1287,59,224400,40502
71,Ivory Coast,6874,N/A,49,N/A,2942,N/A,3883,N/A,261,2,43075,1635
72,Uzbekistan,5946,N/A,19,N/A,4273,N/A,1654,12,178,0.6,748555,22377
73,Senegal,5639,N/A,79,N/A,3788,N/A,1772,17,337,5,66238,3960
74,DRC,5477,N/A,122,N/A,719,N/A,4636,N/A,61,1,N/A,N/A
75,Tajikistan,5338,N/A,51,N/A,3830,N/A,1457,N/A,560,5,N/A,N/A
76,Haiti,4916,N/A,84,N/A,24,N/A,4808,N/A,431,7,9651,847
77,Guinea,4904,N/A,27,N/A,3522,N/A,1355,24,374,2,14407,1098
78,North Macedonia,4820,N/A,222,N/A,1863,N/A,2735,34,2314,107,47793,22940
79,Djibouti,4565,N/A,45,N/A,3565,N/A,955,N/A,4623,46,43871,44426
80,Gabon,4428,N/A,34,N/A,1750,N/A,2644,9,1991,15,27030,12156
81,Kenya,4374,N/A,119,N/A,1550,N/A,2705,7,81,2,130498,2429
82,El Salvador,4329,N/A,86,N/A,2310,N/A,1933,136,668,13,135570,20904
83,Luxembourg,4099,N/A,110,N/A,3944,N/A,45,2,6552,176,138497,221377
84,Hungary,4081,N/A,568,N/A,2581,N/A,932,15,422,59,249391,25814
85,Ethiopia,4070,N/A,72,N/A,1029,N/A,2969,30,35,0.6,207023,1803
86,Bulgaria,3755,N/A,193,N/A,2008,N/A,1554,17,540,28,114854,16527
87,Venezuela,3591,N/A,30,N/A,835,N/A,2726,7,126,1,1115041,39210
